date,min,max,zero_count,zero_percent,average,standard_deviation,variance
2022-09-18 11:38:17,159,180,0,172,100,99,99
2022-09-18 11:38:17,137,174,0,166,99,101,101
2022-09-18 11:38:17,136,124,0,136,99,99,100
2022-09-18 11:38:17,167,186,0,0,99,101,99
2022-09-18 11:38:17,178,162,0,152,100,99,101
2022-09-18 11:38:17,146,104,0,196,100,99,100
2022-09-18 11:38:17,113,182,149,0,99,100,101
2022-09-18 11:38:17,144,159,200,190,101,101,99
2022-09-18 11:38:17,139,160,125,115,101,100,99
2022-09-18 11:38:17,101,158,112,134,99,101,101
2022-09-18 11:38:17,172,162,170,149,100,99,101
2022-09-18 11:38:17,187,146,135,138,99,99,101
2022-09-18 11:38:17,129,118,138,123,99,99,99
2022-09-18 11:38:17,140,101,178,120,100,99,99
2022-09-18 11:38:17,174,118,194,0,100,100,101
2022-09-18 11:38:17,189,107,193,197,101,99,100
2022-09-18 11:38:17,148,176,142,0,99,101,100
2022-09-18 11:38:17,109,149,166,0,99,99,101
2022-09-18 11:38:17,129,101,151,0,99,99,100
2022-09-18 11:38:17,158,161,122,142,99,101,99
2022-09-18 11:38:17,178,147,188,154,100,99,101
2022-09-18 11:38:17,100,164,178,108,99,99,100
2022-09-18 11:38:17,154,101,136,152,101,100,100
2022-09-18 11:38:17,198,166,161,188,101,101,101
2022-09-18 11:38:17,131,175,100,141,100,101,101
2022-09-18 11:38:17,163,137,140,112,101,100,99
2022-09-18 11:38:17,149,188,145,125,100,99,99
2022-09-18 11:38:17,183,194,154,133,100,99,100
2022-09-18 11:38:17,186,129,184,0,100,101,100
2022-09-18 11:38:17,137,103,107,164,99,100,101
2022-09-18 11:38:17,117,171,173,126,100,99,99
2022-09-18 11:38:17,127,141,200,134,100,100,100
2022-09-18 11:38:17,155,169,184,103,101,99,100
2022-09-18 11:38:17,157,200,150,0,99,100,99
2022-09-18 11:38:17,141,120,100,190,99,101,100
2022-09-18 11:38:17,183,164,121,171,101,99,100
2022-09-18 11:38:17,134,164,124,183,99,101,100
2022-09-18 11:38:17,128,147,134,102,100,100,99
2022-09-18 11:38:17,146,160,146,156,101,101,100
2022-09-18 11:38:17,158,104,150,146,100,99,101
2022-09-18 11:38:17,185,137,121,122,99,100,101
2022-09-18 11:38:17,149,184,197,138,99,99,100
2022-09-18 11:38:17,153,183,165,148,101,101,101
2022-09-18 11:38:17,150,158,143,154,100,100,100
2022-09-18 11:38:17,125,139,126,153,100,99,101
2022-09-18 11:38:17,128,104,186,166,99,99,100
2022-09-18 11:38:17,190,199,157,121,99,99,99
2022-09-18 11:38:17,199,169,138,0,101,99,99
2022-09-18 11:38:17,108,121,133,138,100,101,99
2022-09-18 11:38:17,168,101,173,113,99,101,101
2022-09-18 11:38:17,167,111,170,125,99,101,100
2022-09-18 11:38:17,157,116,113,0,99,101,100
2022-09-18 11:38:17,110,112,179,104,101,101,101
2022-09-18 11:38:17,165,150,107,0,100,101,99
2022-09-18 11:38:17,168,130,163,179,99,99,100
2022-09-18 11:38:17,173,175,176,174,99,101,99
2022-09-18 11:38:17,105,193,194,169,99,99,101
2022-09-18 11:38:17,101,164,158,173,99,100,100
2022-09-18 11:38:17,178,195,163,139,99,100,100
2022-09-18 11:38:17,157,139,124,140,99,100,100
2022-09-18 11:38:17,103,198,188,120,100,101,101
2022-09-18 11:38:17,151,146,170,168,101,99,101
2022-09-18 11:38:17,105,108,114,0,100,100,100
2022-09-18 11:38:17,108,152,158,142,99,100,100
2022-09-18 11:38:17,113,109,161,190,99,101,101
2022-09-18 11:38:17,199,182,198,0,101,99,101
2022-09-18 11:38:17,135,107,180,117,101,99,101
2022-09-18 11:38:17,170,158,174,114,101,101,101
2022-09-18 11:38:17,143,127,115,136,100,101,100
2022-09-18 11:38:17,160,168,131,141,99,101,100
2022-09-18 11:38:17,191,103,152,0,99,100,101
2022-09-18 11:38:17,153,140,145,167,101,101,99
2022-09-18 11:38:17,181,158,161,151,100,101,101
2022-09-18 11:38:17,117,163,137,148,101,100,100
2022-09-18 11:38:17,143,183,150,133,101,100,101
2022-09-18 11:38:17,194,196,133,117,100,101,99
2022-09-18 11:38:17,102,130,145,130,100,99,101
2022-09-18 11:38:17,152,150,135,118,100,100,100
2022-09-18 11:38:17,112,157,162,0,99,100,99
2022-09-18 11:38:17,192,172,172,146,100,99,101
2022-09-18 11:38:17,173,149,121,173,99,101,99
2022-09-18 11:38:17,106,157,157,155,100,101,100
2022-09-18 11:38:17,163,187,163,152,101,99,101
2022-09-18 11:38:17,123,177,187,183,99,100,99
2022-09-18 11:38:17,127,147,174,133,100,99,100
2022-09-18 11:38:17,108,152,141,138,100,99,100
2022-09-18 11:38:17,198,184,172,170,99,100,101
2022-09-18 11:38:17,144,198,104,0,100,100,101
2022-09-18 11:38:17,134,131,109,122,101,100,100
2022-09-18 11:38:17,176,113,161,163,99,100,99
2022-09-18 11:38:17,134,197,198,110,101,99,100
2022-09-18 11:38:17,137,137,162,192,99,101,99
2022-09-18 11:38:17,159,137,193,139,101,99,99
2022-09-18 11:38:17,139,169,113,131,99,101,100
2022-09-18 11:38:17,169,154,138,105,100,101,101
2022-09-18 11:38:17,139,154,134,126,101,101,100
